Location,Prices_per_year (₦ or $),Bedrooms,Baths,Toilets
Bella Vista Banana Island Ikoyi Lagos,"₦ 23,000,000",3.0,3.0,4.0
New Road Idado Lekki Lagos,"₦ 3,500,000",2.0,2.0,3.0
Adeola Odeku Victoria Island Lagos,"$ 38,000",3.0,3.0,4.0
Lekki Phase 1 Lekki Lagos,"₦ 5,000,000",0.0,0.0,0.0
Lekki Right Lekki Phase 1 Lekki Lagos,"₦ 1,400,000",0.0,0.0,0.0
Oniru Victoria Island Lagos,"₦ 12,000,000",3.0,3.0,4.0
Ikate Lekki Lagos,"₦ 4,000,000",1.0,1.0,1.0
Agungi Lekki Lagos,"₦ 1,500,000",0.0,0.0,0.0
Banana Island Road Old Ikoyi Ikoyi Lagos,"₦ 15,000,000",2.0,2.0,3.0
Queens Drive Old Ikoyi Ikoyi Lagos,"₦ 20,000,000",2.0,2.0,3.0
Powerline Soluyi Gbagada Lagos,"₦ 1,200,000",1.0,1.0,2.0
Off Awolowo Road Ikoyi Lagos,"₦ 4,000,000",0.0,0.0,0.0
Lekki Phase 1 Lekki Lagos,"₦ 2,500,000",0.0,0.0,0.0
Walter Carrington Ahmadu Bello Way Victoria Island Lagos,"₦ 20,000,000",3.0,3.0,4.0
Off Alfred Rewane Old Ikoyi Ikoyi Lagos,"₦ 22,000,000",4.0,4.0,5.0
Gerard Road Ikoyi Lagos,"₦ 20,000,000",3.0,3.0,4.0
Ikota Lekki Lagos,"₦ 3,500,000",3.0,0.0,0.0
Ikate Lekki Lagos,"₦ 6,500,000",2.0,2.0,3.0
Off Freedom Way Lekki Phase 1 Lekki Lagos,"₦ 200,000",,,
Ifako Gbagada Gbagada Lagos,"₦ 1,000,000",1.0,1.0,1.0
Ajah Lagos,"₦ 3,500,000",2.0,,
New Horizon 2 Extension Ikate Lekki Lagos,"₦ 2,500,000",0.0,0.0,0.0
Harmony Zone C Magodo Gra Phase 1 Ojodu Lagos,"₦ 500,000",0.0,0.0,0.0
Adeola Odeku Victoria Island Lagos,"$ 2,000",3.0,3.0,3.0
Adeola Odeku Victoria Island Lagos,"$ 1,600",3.0,3.0,3.0
Lekki Phase 1 Lekki Lagos,"₦ 3,000,000",1.0,1.0,1.0
Magodo Gra Phase 2 Kosofe Ikosi Lagos,"₦ 1,800,000",1.0,1.0,2.0
Adeola Odeku Victoria Island Lagos,"$ 28,000",2.0,2.0,3.0
Lekki Phase 1 Lekki Lagos,"₦ 5,000,000",3.0,3.0,4.0
Old Ikoyi Ikoyi Lagos,"$ 100,000",4.0,4.0,4.0
Magodo Gra Phase 1 Ojodu Lagos,"₦ 1,000,000",0.0,0.0,0.0
Villa Estate Ikota Lekki Lagos,"₦ 1,200,000",0.0,0.0,0.0
Osapa London Lekki Lagos,"₦ 5,000,000",3.0,0.0,0.0
Ozumba Bonny Camp Victoria Island Lagos,"₦ 18,000,000",3.0,3.0,4.0
Oniru Victoria Island Lagos,"₦ 3,500,000",0.0,0.0,0.0
Shangisha Kosofe Ikosi Lagos,"₦ 1,600,000",0.0,0.0,0.0
Old Ikoyi Ikoyi Lagos,"₦ 7,500,000",0.0,0.0,0.0
Old Ikoyi Ikoyi Lagos,"₦ 25,000,000",3.0,3.0,4.0
Osapa London Lekki Lagos,"₦ 4,000,000",3.0,3.0,4.0
By Dakibiyu Jabi Abuja,"₦ 350,000,000",5.0,5.0,6.0
Goshen Estate Elliot Iju Ishaga Agege Lagos,"₦ 650,000",0.0,0.0,0.0
