Location,Prices_per_year (₦ or $),Bedrooms,Baths,Toilets
"Greenville Estate, Badore Ajah Lagos","₦ 450,000",0.0,0.0,0.0
Lekki Phase 1 Lekki Lagos,"₦ 4,000,000",,,
Lekki Phase 1 Lekki Lagos,"₦ 2,500,000",0.0,0.0,0.0
Ogudu Lagos,"₦ 1,200,000",1.0,1.0,2.0
Ikate Lekki Lagos,"₦ 5,500,000",1.0,1.0,1.0
"Salem, Ikate Lekki Lagos","₦ 3,000,000",1.0,1.0,1.0
Shangisha Kosofe Ikosi Lagos,"₦ 1,500,000",0.0,0.0,0.0
Old Ikoyi Ikoyi Lagos,"₦ 7,500,000",0.0,0.0,0.0
Magodo Gra Phase 1 Ojodu Lagos,"₦ 700,000",0.0,0.0,0.0
Victoria Island Ahmadu Bello Way Victoria Island Lagos,"₦ 18,000,000",3.0,3.0,4.0
Off Banana Island Road Ikoyi Lagos,"₦ 14,000,000",4.0,4.0,5.0
Parkview Estate Ikoyi Lagos,"₦ 8,500,000",3.0,3.0,4.0
Bucknor Isolo Lagos,"₦ 900,000",2.0,2.0,3.0
Ikoyi Lagos,"₦ 18,000,000",4.0,4.0,5.0
Parkview Estate Ikoyi Lagos,"₦ 7,000,000",3.0,3.0,4.0
Oniru Victoria Island Lagos,"₦ 9,500,000",2.0,2.0,3.0
"Banana Island Road, Ikoyi Lagos","₦ 16,000,000",4.0,4.0,5.0
Victoria Island Kofo Abayomi Victoria Island Lagos,"$ 20,000",3.0,3.0,4.0
Old Ikoyi Ikoyi Lagos,"₦ 11,000,000",4.0,4.0,5.0
Ahmadu Bello Way Victoria Island Lagos,"₦ 17,000,000",3.0,3.0,4.0
Banana Island Ikoyi Lagos,"₦ 30,000,000",3.0,3.0,4.0
Victoria Island Lagos,"₦ 17,000,000",3.0,3.0,4.0
Off Pedro Palmgroove Shomolu Lagos,"₦ 2,000,000",,,
Akoka Yaba Lagos,"₦ 800,000",0.0,0.0,0.0
Alagomeji Yaba Lagos,"₦ 1,000,000",0.0,0.0,0.0
Palmgroove Shomolu Lagos,"₦ 600,000",0.0,0.0,0.0
Onike Yaba Lagos,"₦ 700,000",0.0,0.0,0.0
Akoka Yaba Lagos,"₦ 600,000",0.0,0.0,0.0
Onike Yaba Lagos,"₦ 1,000,000",0.0,0.0,0.0
Off Pedro Palmgroove Shomolu Lagos,"₦ 550,000",,,
Abule Ijesha Yaba Lagos,"₦ 500,000",0.0,0.0,0.0
Abule Ijesha Yaba Lagos,"₦ 1,000,000",0.0,0.0,0.0
Ajayi Road Ogba Lagos,"₦ 450,000",0.0,1.0,1.0
Onike Yaba Lagos,"₦ 600,000",0.0,0.0,0.0
Ajayi Road Ogba Lagos,"₦ 500,000",,1.0,1.0
Oke Ira Ogba Lagos,"₦ 500,000",,1.0,1.0
Palmgroove Shomolu Lagos,"₦ 500,000",0.0,0.0,0.0
Shomolu Lagos,"₦ 600,000",0.0,0.0,0.0
Fola Agoro Yaba Lagos,"₦ 600,000",0.0,0.0,0.0
Parkview Estate Ikoyi Lagos,"₦ 7,000,000",3.0,3.0,3.0
Opposite Rock Stone Estate Badore Ajah Lagos,"₦ 400,000",0.0,0.0,0.0
Aguda Surulere Lagos,"₦ 2,500,000",0.0,0.0,0.0
Banana Island Ikoyi Lagos,"₦ 32,000,000",3.0,3.0,4.0
Aguda Coker Surulere Lagos,"₦ 2,000,000",3.0,0.0,0.0
Banana Island Ikoyi Lagos,"₦ 22,000,000",3.0,3.0,4.0
Old Ikoyi Ikoyi Lagos,"₦ 14,000,000",3.0,3.0,4.0
Kilo Marsha Surulere Lagos,"₦ 1,700,000",2.0,0.0,0.0
Amuwo Odofin Lagos,"₦ 2,500,000",2.0,2.0,3.0
Amuwo Odofin Lagos,"₦ 1,800,000",2.0,0.0,0.0
Silver Bird Road Ilasan By Jakande First Gate Lekki Lagos. Ilasan Lekki Lagos,"₦ 700,000,000",,,
Banana Island Ikoyi Lagos,"₦ 29,000,000",3.0,3.0,4.0
Mafoluku Oshodi Lagos,"₦ 1,000,000",1.0,,
"Off Gerrard Road, Old Ikoyi Lagos","₦ 15,000,000",3.0,4.0,4.0
Aguda Surulere Lagos,"₦ 2,000,000",3.0,2.0,2.0
2nd Toll Gate Chevron Lekki Lagos,"₦ 3,000,000",2.0,0.0,0.0
Parkview Estate Ikoyi Lagos,"₦ 6,500,000",3.0,3.0,4.0
Bucknor Isolo Lagos,"₦ 650,000",1.0,1.0,1.0
Adeola Hopewell Victoria Island Lagos,"₦ 20,000,000",3.0,3.0,4.0
Banana Island Ikoyi Lagos,"₦ 23,000,000",3.0,3.0,4.0
Ikoyi Lagos,"₦ 12,500,000",3.0,3.0,4.0
"Banana Island Road, Ikoyi Lagos","₦ 20,000,000",3.0,3.0,4.0
Aguda Surulere Lagos,"₦ 2,000,000",3.0,,
Bucknor Isolo Lagos,"₦ 1,000,000",1.0,1.0,2.0
Off Orelope Egbeda Alimosho Lagos,"₦ 700,000",0.0,0.0,0.0
Westwood Estate Badore Ajah Lagos,"₦ 250,000",1.0,1.0,1.0
Unity Estate Badore Ajah Lagos,"₦ 600,000",1.0,1.0,1.0
Osapa London Lekki Lagos,"₦ 1,300,000",1.0,1.0,1.0
Oniru Oniru Victoria Island Lagos,"₦ 4,000,000",1.0,1.0,2.0
Banana Island Ikoyi Lagos,"₦ 13,000,000",1.0,1.0,2.0
Ayobo Ipaja Lagos,"₦ 600,000",2.0,0.0,0.0
Shomolu Lagos,"₦ 1,200,000",1.0,0.0,0.0
Ikeja Command Abule Egba Lagos,"₦ 550,000",1.0,2.0,2.0
Extension Omole Phase 2 Ojodu Lagos,"₦ 1,500,000",2.0,2.0,3.0
Banana Island Ikoyi Lagos,"₦ 20,000,000",3.0,4.0,4.0
Soluyi Gbagada Lagos,"₦ 1,200,000",1.0,1.0,1.0
Precisely Pedro Shomolu New Garage Gbagada Lagos,"₦ 1,600,000",1.0,2.0,2.0
Precisely Pedro New Garage Gbagada Lagos,"₦ 900,000",1.0,1.0,1.0
Soluyi Gbagada Lagos,"₦ 2,500,000",2.0,2.0,2.0
Ifako Gbagada Gbagada Lagos,"₦ 4,500,000",4.0,4.0,4.0
Oniru Victoria Island Lagos,"₦ 4,000,000",1.0,1.0,1.0
Osapa London Lekki Lagos,"₦ 1,300,000",1.0,1.0,1.0
Ikate Lekki Lagos,"₦ 6,500,000",2.0,2.0,3.0
Unity Estate Badore Ajah Lagos,"₦ 1,800,000",3.0,0.0,4.0
Awolowo Road Ikoyi Lagos,"₦ 12,000,000",3.0,3.0,4.0
"Along Nbc Road, Ebute Ikorodu Lagos","₦ 1,500,000",2.0,2.0,3.0
Vgc Bus Stop Lekki Lagos,"₦ 1,500,000",1.0,0.0,0.0
Orchid Chevron Lekki Lagos,"₦ 3,000,000",2.0,2.0,3.0
Lekki Scheme 2 Ajah Lagos,"₦ 900,000",1.0,1.0,1.0
Osapa London Lekki Lagos,"₦ 1,300,000",1.0,1.0,1.0
Aguda(ogba) Ogba Lagos,"₦ 1,300,000",2.0,2.0,2.0
Off Abraham Adesanya Estate Lekki Scheme 2 Ajah Lagos,"₦ 500,000",1.0,1.0,1.0
Remi Olowude Street Lekki Phase 1 Lekki Lagos,"₦ 16,000,000",3.0,3.0,3.0
River Valley Estate Ojodu Lagos,"₦ 1,500,000",2.0,2.0,2.0
River Valley Estate Ojodu Lagos,"₦ 2,500,000",2.0,2.0,3.0
Olowora Ojodu Lagos,"₦ 1,500,000",2.0,0.0,0.0
Aguda Surulere Lagos,"₦ 1,500,000",2.0,0.0,0.0
Ologolo Lekki Lagos,"₦ 2,800,000",2.0,3.0,3.0
Lekki Scheme 2 Ajah Lagos,"₦ 1,000,000",1.0,1.0,1.0
Osapa London Lekki Lagos,"₦ 3,500,000",2.0,3.0,3.0
Mafoluku Oshodi Lagos,"₦ 1,000,000",1.0,2.0,2.0
Unity Estate Badore Ajah Lagos,"₦ 500,000",1.0,1.0,1.0
Ikeja Gra Ikeja Lagos,"₦ 1,300,000,000",,,
Magodo Gra Phase 1 Ojodu Lagos,"₦ 2,500,000",2.0,2.0,3.0
Ikota Lekki Lagos,"₦ 2,500,000",3.0,3.0,4.0
Obanikoro Estate Ilupeju Lagos,"₦ 3,000,000",2.0,0.0,0.0
Abule Ijesha Yaba Lagos,"₦ 1,200,000",0.0,0.0,0.0
Abule Ijesha Yaba Lagos,"₦ 700,000",0.0,0.0,0.0
Idimu Egbe Ikotun Igando Lagos,"₦ 1,200,000",2.0,0.0,0.0
Off Jose Maria Street Lekki Phase 1 Lekki Lagos,"₦ 4,000,000",1.0,1.0,2.0
Chevy View Estate Chevron Lekki Lagos,"₦ 1,000,000",1.0,1.0,1.0
Chevy View Estate Chevron Lekki Lagos,"₦ 1,600,000",1.0,1.0,1.0
Chevy View Estate Chevron Lekki Lagos,"₦ 2,000,000",1.0,1.0,1.0
Estate Badore Ajah Lagos,"₦ 1,800,000",,,
Oyegoke Street Off Daudu Mafoluku Oshodi Lagos,"₦ 1,000,000",1.0,1.0,2.0
Owoseni Street Off Adeyemi Bolade Oshodi Lagos,"₦ 2,000,000",3.0,3.0,4.0
Creek Haven Estate Vgc Lekki Lagos,"₦ 5,000,000",2.0,2.0,3.0
Lekki Lagos,"₦ 12,000,000",2.0,2.0,3.0
Mobile Road Ilaje Ajah Lagos,"₦ 600,000",1.0,1.0,1.0
Off Kunsela Way Ikate Lekki Lagos,"₦ 5,000,000",2.0,2.0,2.0
Lekki Lagos,"₦ 6,000,000",3.0,3.0,4.0
Oniru Estate Victoria Island Lagos,"₦ 10,000,000",3.0,3.0,4.0
Lekki Phase 1 Lekki Lagos,"₦ 5,000,000",2.0,2.0,3.0
Lekki Phase 1 Lekki Lagos,"₦ 6,000,000",3.0,3.0,4.0
Mafoluku Oshodi Lagos,"₦ 1,000,000",1.0,0.0,0.0
Old Ikoyi Ikoyi Lagos,"₦ 1,500,000",0.0,0.0,0.0
Banana Island Ikoyi Lagos,"₦ 60,000,000",4.0,5.0,5.0
Omole Phase 2 Extension Olowora Ojodu Lagos,"₦ 1,500,000",2.0,2.0,3.0
Aguda Surulere Lagos,"₦ 1,500,000",1.0,1.0,1.0
Off Lawanson Road Surulere Lagos,"₦ 400,000",0.0,1.0,1.0
Ologolo Lekki Lagos,"₦ 55,000,000",2.0,2.0,3.0
Magodo Gra Phase 2 Kosofe Ikosi Lagos,"₦ 4,000,000",2.0,2.0,3.0
Hillview Estate Olowora Ojodu Lagos,"₦ 7,000,000",5.0,5.0,6.0
Omole Phase 2 Ojodu Lagos,"₦ 10,000,000",7.0,7.0,8.0
Off Allen Allen Avenue Ikeja Lagos,"₦ 7,000,000",3.0,3.0,4.0
Ikate Lekki Lagos,"₦ 5,500,000",2.0,2.0,3.0
Old Ikoyi Ikoyi Lagos,"₦ 15,000,000",3.0,3.0,4.0
Romay Garden Estate Lekki Lagos,"₦ 5,000,000",3.0,0.0,0.0
Agboyi Estate Ketu Lagos,"₦ 1,200,000",3.0,3.0,3.0
Ikate Lekki Lagos,"₦ 6,000,000",3.0,3.0,4.0
Pedro Palmgroove Shomolu Lagos,"₦ 1,200,000",1.0,2.0,2.0
Adelabu Surulere Lagos,"₦ 1,500,000",1.0,0.0,0.0
Ikate Lekki Lagos,"₦ 6,000,000",3.0,3.0,4.0
Abule Ijesha Yaba Lagos,"₦ 600,000",0.0,0.0,0.0
Parkview Estate Ikoyi Lagos,"₦ 7,000,000",3.0,3.0,3.0
Abule Ijesha Yaba Lagos,"₦ 1,200,000",1.0,2.0,2.0
Ikate Lekki Lagos,"₦ 6,500,000",2.0,2.0,3.0
Oregun Ikeja Lagos,"₦ 650,000",0.0,1.0,1.0
Magodo Gra Phase 2 Kosofe Ikosi Lagos,"₦ 3,000,000",2.0,3.0,3.0
Oregun Ikeja Lagos,"₦ 700,000",1.0,0.0,0.0
Omole Phase 2 Ojodu Lagos,"₦ 1,500,000",2.0,2.0,3.0
Thera Annex Sangotedo Ajah Lagos,"₦ 1,500,000",3.0,3.0,4.0
Medina Gbagada Lagos,"₦ 4,000,000",3.0,3.0,4.0
Meiran Abule Egba Lagos,"₦ 1,000,000",2.0,0.0,0.0
Adeola Odeku Victoria Island Lagos,"₦ 18,000,000",3.0,3.0,4.0
Unity Estate Badore Ajah Lagos,"₦ 1,800,000",2.0,2.0,3.0
Ikate Lekki Lagos,"₦ 7,000,000",2.0,3.0,3.0
Abijo Ajah Lagos,"₦ 1,500,000",1.0,0.0,0.0
Abijo Ajah Lagos,"₦ 700,000",0.0,1.0,1.0
Unity Estate Badore Ajah Lagos,"₦ 1,500,000",3.0,3.0,4.0
"Olorunsogo, Mushin Lagos","₦ 100,000",0.0,0.0,0.0
Lekki Scheme 2 Off Abraham Adesanya Estate Ajah Lekki Scheme 2 Ajah Lagos,"₦ 350,000",1.0,1.0,1.0
Off Abraham Adesanya Estate Ajah Lekki Scheme 2 Ajah Lagos,"₦ 650,000",1.0,1.0,1.0
Off Abraham Adesanya Estate Lekki Scheme 2 Ajah Lagos,"₦ 900,000",1.0,1.0,1.0
Off Abraham Adesanya Estate Lekki Scheme 2 Ajah Lagos,"₦ 500,000",1.0,1.0,1.0
Mobil Road Ilaje Ajah Lagos,"₦ 600,000",1.0,1.0,1.0
Ikate Ikate Lekki Lagos,"₦ 6,000,000",2.0,2.0,3.0
Osapa London Lekki Lagos,"₦ 1,300,000",1.0,,
Osapa London Lekki Lagos,"₦ 1,100,000",1.0,,
Chevron Lekki Lagos,"₦ 900,000",1.0,0.0,0.0
Orchid Lekki Lagos,"₦ 850,000",1.0,0.0,0.0
Orchid Lekki Lagos,"₦ 850,000",1.0,0.0,0.0
Lekki Lagos,"₦ 4,000,000",2.0,2.0,3.0
Agungi Lekki Lagos,"₦ 1,200,000",1.0,1.0,1.0
Chevron Lekki Lagos,"₦ 2,000,000",1.0,,
Aboru Iyanapaja Iyana Ipaja Ipaja Lagos,"₦ 650,000",1.0,,
Osapa London Lekki Lagos,"₦ 2,000,000",1.0,1.0,2.0
Egbeda Alimosho Lagos,"₦ 700,000",1.0,0.0,0.0
Egbeda Alimosho Lagos,"₦ 1,500,000",3.0,0.0,0.0
Fola Agoro Shomolu Lagos,"₦ 1,700,000",3.0,2.0,2.0
Akoka Yaba Lagos,"₦ 2,500,000",2.0,2.0,3.0
Magodo Gra Phase 1 Ojodu Lagos,"₦ 2,500,000",3.0,0.0,0.0
Mafoluku Oshodi Lagos,"₦ 700,000",1.0,0.0,0.0
Ado Ajah Lagos,"₦ 800,000",1.0,,
Aboru Iyana Ipaja Ipaja Lagos,"₦ 600,000",1.0,0.0,0.0
Ajao Estate Isolo Lagos,"₦ 1,600,000",2.0,0.0,0.0
Egbeda Alimosho Lagos,"₦ 700,000",2.0,0.0,0.0
Egbeda Alimosho Lagos,"₦ 1,200,000",2.0,0.0,0.0
Lawanson Surulere Lagos,"₦ 1,500,000",2.0,0.0,0.0
Ilaje Ajah Lagos,"₦ 3,200,000",2.0,3.0,3.0
Shangisha Kosofe Ikosi Lagos,"₦ 2,000,000",2.0,3.0,3.0
Oniru Victoria Island Lagos,"₦ 10,000,000",3.0,3.0,4.0
Ikate Lekki Lagos,"₦ 2,800,000",1.0,0.0,0.0
Abule Ijesha Yaba Lagos,"₦ 1,200,000",1.0,2.0,2.0
Egbeda Alimosho Lagos,"₦ 800,000",1.0,0.0,0.0
Oniru Victoria Island Lagos,"₦ 10,000,000",3.0,4.0,4.0
Old Ikoyi Ikoyi Lagos,"₦ 22,000,000",4.0,4.0,4.0
Ayobo Ipaja Lagos,"₦ 650,000",2.0,0.0,0.0
Ikota Lekki Lagos,"₦ 5,000,000",5.0,5.0,6.0
Oniru Victoria Island Lagos,"₦ 5,000,000",2.0,3.0,3.0
Ikota Lekki Lagos,"₦ 2,800,000",2.0,2.0,3.0
Abule Oja Yaba Lagos,"₦ 900,000",1.0,0.0,0.0
Peace Estate Baruwa Ipaja Lagos,"₦ 1,000,000",2.0,3.0,3.0
Ayobo Ipaja Lagos,"₦ 700,000",2.0,0.0,0.0
Lawanson Surulere Lagos,"₦ 1,500,000",2.0,0.0,0.0
Sangotedo Ajah Lagos,"₦ 1,700,000",2.0,3.0,3.0
Abuja Diplomatic Zone Jabi Abuja,"₦ 2,000,000,000",3.0,5.0,5.0
Olokonla Ajah Lagos,"₦ 2,000,000",2.0,,
River Valley Estate Ojodu Lagos,"₦ 2,500,000",2.0,3.0,3.0
Peninsula Estate Ajah Lagos,"₦ 1,300,000",2.0,0.0,0.0
Ishaga Surulere Lagos,"₦ 1,100,000",0.0,0.0,0.0
Lekki Phase 1 Lekki Lagos,"₦ 15,000,000",3.0,3.0,4.0
Lekki Phase 1 Lekki Lagos,"₦ 7,000,000",2.0,2.0,3.0
Aguda Surulere Lagos,"₦ 1,800,000",3.0,3.0,3.0
Fola Agoro Yaba Lagos,"₦ 1,300,000",1.0,2.0,2.0
Sangotedo Ajah Lagos,"₦ 1,800,000",2.0,3.0,3.0
Ayobo Ipaja Lagos,"₦ 600,000",2.0,0.0,0.0
Onikoyi Mojisola Onikoyi Estate Ikoyi Lagos,"₦ 15,000,000",3.0,3.0,4.0
Chevron Lekki Lagos,"₦ 1,800,000",0.0,0.0,0.0
Lekki Phase 1 Lekki Lagos,"₦ 1,500,000",0.0,0.0,0.0
Ikate Lekki Lagos,"₦ 4,000,000",2.0,2.0,3.0
Ilasan Lekki Lagos,"₦ 3,500,000",2.0,2.0,3.0
Ayobo Ipaja Lagos,"₦ 700,000",2.0,0.0,0.0
Sangotedo Ajah Lagos,"₦ 600,000",0.0,1.0,1.0
Oniru Victoria Island Lagos,"₦ 10,000,000",3.0,3.0,4.0
Mafoluku Oshodi Lagos,"₦ 1,300,000",2.0,0.0,0.0
Idado Lekki Lagos,"₦ 3,000,000",3.0,3.0,4.0
Akoka Yaba Lagos,"₦ 1,000,000",0.0,1.0,1.0
Chevron Lekki Lagos,"₦ 4,000,000",2.0,2.0,3.0
Lekki Lagos,"₦ 1,500,000",1.0,1.0,1.0
Akoka Yaba Lagos,"₦ 550,000",0.0,1.0,1.0
Soluyi Gbagada Lagos,"₦ 1,700,000",1.0,1.0,2.0
Sangotedo Ajah Lagos,"₦ 2,000,000",2.0,3.0,3.0
Magodo Gra Phase 2 Kosofe Ikosi Lagos,"₦ 3,500,000",3.0,0.0,0.0
Chevron Lekki Lagos,"₦ 1,500,000",1.0,1.0,1.0
Lawanson Surulere Lagos,"₦ 1,500,000",2.0,3.0,3.0
Valley View Estate Iyana Ipaja Ipaja Lagos,"₦ 1,000,000",2.0,2.0,3.0
Aburo Iyana Ipaja Ipaja Lagos,"₦ 800,000",2.0,3.0,3.0
Magodo Gra Phase 2 Kosofe Ikosi Lagos,"₦ 4,000,000",2.0,3.0,3.0
Ayobo Ipaja Lagos,"₦ 800,000",3.0,3.0,4.0
Aboru Iyana Ipaja Ipaja Lagos,"₦ 800,000",3.0,0.0,0.0
Ayobo Ipaja Lagos,"₦ 250,000",0.0,1.0,1.0
Abijo Ajah Lagos,"₦ 650,000",1.0,1.0,1.0
Ayobo Ipaja Lagos,"₦ 330,000",1.0,0.0,0.0
Ayobo Ipaja Lagos,"₦ 400,000",1.0,0.0,0.0
Wemabod Adeniyi Jones Ikeja Lagos,"₦ 3,500,000",3.0,0.0,0.0
Oko Oba Agege Lagos,"₦ 1,000,000",3.0,0.0,0.0
Egbeda Alimosho Lagos,"₦ 1,000,000",3.0,0.0,0.0
Old Ikoyi Old Ikoyi Ikoyi Lagos,"$ 110,000",5.0,5.0,5.0
Obawole Ifako Ogba Ogba Lagos,"₦ 900,000",2.0,3.0,3.0
Lekki Phase 1 Lekki Lagos,"₦ 4,000,000",1.0,2.0,2.0
Olokonla Ajah Lagos,"₦ 1,700,000",2.0,3.0,3.0
Egbeda Alimosho Lagos,"₦ 1,200,000",3.0,,
Lekki Phase 1 Lekki Lagos,"₦ 2,000,000",1.0,0.0,0.0
Olowora Ojodu Lagos,"₦ 800,000",1.0,0.0,0.0
Aboru Iyana Ipaja Ipaja Lagos,"₦ 800,000",2.0,0.0,0.0
Ikate Lekki Lagos,"₦ 5,000,000",2.0,3.0,3.0
Ajao Estate Isolo Lagos,"₦ 2,200,000",3.0,0.0,0.0
Adeola Odeku Victoria Island Lagos,"₦ 18,000,000",3.0,3.0,4.0
Lekki Phase 1 Lekki Lagos,"₦ 6,000,000",2.0,3.0,3.0
Lekki Phase 1 Lekki Lagos,"₦ 6,000,000",2.0,3.0,3.0
Lawanson Surulere Lagos,"₦ 1,200,000",1.0,0.0,0.0
Phase 1 Gbagada Lagos,"₦ 3,500,000",3.0,4.0,4.0
Egbeda Alimosho Lagos,"₦ 1,500,000",2.0,3.0,3.0
Aguda Surulere Lagos,"₦ 1,500,000",1.0,2.0,2.0
Ologolo Lekki Lagos,"₦ 3,000,000",2.0,3.0,3.0
Adelabu Surulere Lagos,"₦ 2,500,000",2.0,3.0,3.0
Abule Ijesha Yaba Lagos,"₦ 1,500,000",0.0,0.0,0.0
Peninsula Estate Ajah Lagos,"₦ 800,000",0.0,2.0,1.0
Akoka Yaba Lagos,"₦ 550,000",0.0,1.0,1.0
Ile Epo Abule Egba Abule Egba Lagos,"₦ 700,000",2.0,0.0,0.0
Ikate Lekki Lagos,"₦ 2,500,000",0.0,1.0,1.0
Aboru Iyana Ipaja Ipaja Lagos,"₦ 500,000",2.0,0.0,0.0
Lawanson Surulere Lagos,"₦ 800,000",1.0,0.0,0.0
Ologolo Lekki Lagos,"₦ 5,000,000",3.0,3.0,4.0
Gloryland Estate Egbeda Alimosho Lagos,"₦ 650,000",2.0,0.0,0.0
Ayobo Ipaja Lagos,"₦ 500,000",2.0,0.0,0.0
Ajao Estate Isolo Lagos,"₦ 2,000,000",3.0,3.0,4.0
College Road Ifako Ogba Ogba Lagos,"₦ 1,300,000",2.0,0.0,0.0
Iyana Ekoro Abule Egba Lagos,"₦ 250,000",0.0,1.0,1.0
Valley View Estate Iyana Ipaja Ipaja Lagos,"₦ 750,000",2.0,0.0,0.0
Mende Maryland Lagos,"₦ 1,600,000",2.0,0.0,0.0
Abule Egba Lagos,"₦ 350,000",1.0,0.0,0.0
Ikate Lekki Lagos,"₦ 2,000,000",1.0,1.0,2.0
Egbeda Alimosho Lagos,"₦ 650,000",2.0,0.0,0.0
Ifako Ogba Lagos,"₦ 300,000",0.0,0.0,0.0
Agbele Iyana Ipaja Ipaja Lagos,"₦ 800,000",2.0,,
Obawole Ifako Ogba Ogba Lagos,"₦ 300,000",0.0,1.0,1.0
Aguda Surulere Lagos,"₦ 500,000",0.0,1.0,1.0
Off Cole Street Lawanson Surulere Lagos,"₦ 850,000",0.0,0.0,0.0
Kilo Marsha Surulere Lagos,"₦ 500,000",0.0,0.0,0.0
Yakoyo Alagbole Ojodu Lagos,"₦ 600,000",1.0,0.0,0.0
Peace Estate Baruwa Ipaja Lagos,"₦ 1,150,000",2.0,3.0,3.0
Governors Road Ikotun Igando Lagos,"₦ 500,000",0.0,0.0,0.0
Akoka Yaba Lagos,"₦ 800,000",1.0,0.0,0.0
Sawmill Ifako Gbagada Gbagada Lagos,"₦ 600,000",0.0,1.0,1.0
Olowora Ojodu Lagos,"₦ 2,000,000",2.0,3.0,3.0
Soluyi Gbagada Lagos,"₦ 1,800,000",2.0,3.0,3.0
Lawanson Surulere Lagos,"₦ 500,000",0.0,1.0,1.0
Ifako Ogba Ogba Lagos,"₦ 1,300,000",3.0,3.0,4.0
Old Ikoyi Ikoyi Lagos,"₦ 16,000,000",4.0,4.0,4.0
Magodo Gra Phase 2 Kosofe Ikosi Lagos,"₦ 1,500,000",1.0,0.0,0.0
Ikate Lekki Lagos,"₦ 1,000,000",1.0,1.0,1.0
Ifako Ogba Ogba Lagos,"₦ 600,000",0.0,1.0,1.0
Lekki Phase 1 Lekki Lagos,"₦ 5,000,000",2.0,3.0,3.0
Chevron Alternative Lekki Lagos,"₦ 3,500,000",2.0,2.0,3.0
Mende Maryland Lagos,"₦ 2,500,000",3.0,0.0,0.0
Ayobo Ipaja Lagos,"₦ 550,000",2.0,3.0,3.0
Abule Ijesha Yaba Lagos,"₦ 600,000",0.0,1.0,1.0
Bajuliaye Shomolu Lagos,"₦ 600,000",0.0,1.0,1.0
Lakeview Estate Amuwo Odofin Lagos,"₦ 60,000,000",3.0,4.0,4.0
Onike Yaba Lagos,"₦ 500,000",0.0,1.0,1.0
Sangotedo Ajah Lagos,"₦ 1,800,000",3.0,0.0,0.0
Abule Oja Yaba Lagos,"₦ 550,000",0.0,0.0,0.0
Ayobo Ipaja Lagos,"₦ 1,000,000",2.0,3.0,3.0
Banana Island Ikoyi Lagos,"₦ 15,000,000",3.0,3.0,4.0
Ikate Lekki Lagos,"₦ 5,500,000",3.0,4.0,4.0
Ikate Lekki Lagos,"₦ 6,000,000",2.0,3.0,3.0
Abule Oja Yaba Lagos,"₦ 400,000",0.0,1.0,1.0
Ikota Villa Estate Lekki Lagos,"₦ 3,000,000",3.0,3.0,4.0
Lekki Lagos,"₦ 6,000,000",3.0,3.0,4.0
Aguda Surulere Lagos,"₦ 1,700,000",2.0,3.0,3.0
Berger Ojodu Lagos,"₦ 850,000",1.0,1.0,1.0
Lawanson Surulere Lagos,"₦ 800,000",0.0,0.0,0.0
Ogba Lagos,"₦ 600,000",0.0,0.0,0.0
Ado Ajah Lagos,"₦ 2,000,000",3.0,0.0,0.0
Banana Island Ikoyi Lagos,"₦ 20,000,000",3.0,4.0,4.0
Ayobo Ipaja Lagos,"₦ 600,000",3.0,0.0,0.0
Osapa London Lekki Lagos,"₦ 1,300,000",0.0,1.0,1.0
Sangotedo Ajah Lagos,"₦ 1,000,000",1.0,0.0,0.0
Ladilak Shomolu Lagos,"₦ 1,000,000",1.0,2.0,2.0
Ekoro Abule Egba Abule Egba Lagos,"₦ 800,000",1.0,0.0,0.0
Abule Ijesha Yaba Lagos,"₦ 1,000,000",0.0,0.0,0.0
Lekki Lagos,"₦ 10,000,000",3.0,3.0,4.0
Berger Ojodu Lagos,"₦ 800,000",1.0,2.0,2.0
Ayobo Ipaja Lagos,"₦ 300,000",0.0,1.0,1.0
Olowora Ojodu Lagos,"₦ 2,000,000",3.0,3.0,4.0
Idera Estate Ayobo Ipaja Lagos,"₦ 900,000",2.0,3.0,3.0
Ayobo Ipaja Lagos,"₦ 400,000",1.0,2.0,2.0
Ikate Lekki Lagos,"₦ 3,000,000",2.0,0.0,0.0
Berger Ojodu Lagos,"₦ 1,100,000",0.0,0.0,0.0
Chevron Lekki Lagos,"₦ 3,500,000",2.0,3.0,3.0
Majek Ajah Lagos,"₦ 1,500,000",3.0,0.0,0.0
Fola Agoro Yaba Lagos,"₦ 650,000",0.0,1.0,1.0
Ayobo Ipaja Lagos,"₦ 200,000",0.0,1.0,1.0
Sawmill Ifako Gbagada Gbagada Lagos,"₦ 1,700,000",2.0,0.0,0.0
Ajao Estate Isolo Lagos,"₦ 800,000",1.0,0.0,0.0
Mende Maryland Lagos,"₦ 3,500,000",3.0,0.0,0.0
Alagbole Yakoyo Alagbole Ojodu Lagos,"₦ 1,000,000",2.0,0.0,0.0
Ikota Lekki Lagos,"₦ 3,000,000",2.0,0.0,0.0
Egbeda Alimosho Lagos,"₦ 1,200,000",2.0,2.0,2.0
Egbeda Alimosho Lagos,"₦ 1,500,000",2.0,2.0,3.0
Central Ikoyi Ikoyi Lagos,"$ 99,500",4.0,4.0,4.0
Ifako Ogba Ogba Lagos,"₦ 800,000",2.0,0.0,0.0
Heritage Estate Aboru Iyana Ipaja Ipaja Lagos,"₦ 1,000,000",3.0,0.0,0.0
Ajayi Road Ogba Lagos,"₦ 1,500,000",2.0,2.0,3.0
